Model,GDP_Bucket,Elasticity_LogLog,Obs,Price_Units_Corr
3 Series,High,0.21947606090982155,128,-0.009959902442979207
3 Series,Low,1.9927118238188704,128,0.09846344826519365
3 Series,Medium,2.14861525961344,128,0.10649108289866828
5 Series,High,-3.0660084223150132,128,-0.16543950459987242
5 Series,Low,0.5229208930547224,128,0.06417143202480134
5 Series,Medium,-0.5955183528888781,128,-0.031771267764171
MINI,High,-1.4155202556119248,128,-0.0827102558887651
MINI,Low,-2.0885986895319126,128,-0.10632774619194442
MINI,Medium,0.7657644511292783,128,0.08668342253926209
X3,High,-0.13346342904471079,128,-0.02442686141959084
X3,Low,0.21371198180899215,128,0.0071647836413133
X3,Medium,-0.2702469902432741,128,-0.0020001971221506633
X5,High,0.9678832309296601,128,0.019945005338800774
X5,Low,-0.6333121075011559,128,-0.029632478746987136
X5,Medium,8.769010477608974,128,0.2965347174118511
X7,High,3.731936357550097,128,0.09357998691969387
X7,Low,2.55382109446238,128,0.05408848008702353
X7,Medium,1.6828766943667286,128,0.05085610659954891
i4,High,0.34717447946283325,128,0.016995915026851258
i4,Low,0.9146118268945747,128,0.04728743748168879
i4,Medium,-2.019362256868982,128,-0.07475704304317314
iX,High,-1.5513934816050825,128,-0.06935394609069408
iX,Low,-0.5995912994738226,128,-0.017082826449184085
iX,Medium,-3.2806660160423675,128,-0.11892962143786535
